2015,2016,2017,2018,2019,2020
76,82,88,94,100,100
25,31,37,43,49,55
30,36,42,48,54,60
35,41,47,53,59,65
0,6,12,18,24,30
70,76,82,88,94,100
69,75,81,87,93,99
57,63,69,75,81,87
94,100,100,100,100,100
84,90,96,100,100,100
25,31,37,43,49,55
55,61,67,73,79,85
57,63,69,75,81,87
85,91,97,100,100,100
92,98,100,100,100,100
49,55,61,67,73,79
64,70,76,82,88,94
23,29,35,41,47,53
89,95,100,100,100,100
74,80,86,92,98,100
51,57,63,69,75,81
42,48,54,60,66,72
89,95,100,100,100,100
59,65,71,77,83,89
54,60,66,72,78,84
66,72,78,84,90,96
93,99,100,100,100,100
21,27,33,39,45,51
40,46,52,58,64,70
95,100,100,100,100,100
46,52,58,64,70,76
39,45,51,57,63,69
67,73,79,85,91,97
90,96,100,100,100,100
29,35,41,47,53,59
94,100,100,100,100,100
81,87,93,99,100,100
20,26,32,38,44,50
34,40,46,52,58,64
11,17,23,29,35,41
34,40,46,52,58,64
53,59,65,71,77,83
31,37,43,49,55,61
22,28,34,40,46,52
68,74,80,86,92,98
60,66,72,78,84,90
25,31,37,43,49,55
24,30,36,42,48,54
84,90,96,100,100,100
66,72,78,84,90,96
84,90,96,100,100,100
15,21,27,33,39,45
82,88,94,100,100,100
37,43,49,55,61,67
53,59,65,71,77,83
81,87,93,99,100,100
22,28,34,40,46,52
10,16,22,28,34,40
98,100,100,100,100,100
49,55,61,67,73,79
77,83,89,95,101,100
82,88,94,100,100,100
94,100,100,100,100,100
73,79,85,91,97,100
71,77,83,89,95,101
73,79,85,91,97,100
4,10,16,22,28,34
4,10,16,22,28,34
38,44,50,56,62,68
27,33,39,45,51,57
52,58,64,70,76,82
31,37,43,49,55,61
69,75,81,87,93,99
87,93,99,100,100,100
17,23,29,35,41,47
44,50,56,62,68,74
12,18,24,30,36,42
54,60,66,72,78,84
56,62,68,74,80,86
17,23,29,35,41,47
50,56,62,68,74,80
1,7,13,19,25,31
71,77,83,89,95,101
93,99,100,100,100,100
98,100,100,100,100,100
39,45,51,57,63,69
42,48,54,60,66,72
73,79,85,91,97,100
42,48,54,60,66,72
94,100,100,100,100,100
0,6,12,18,24,30
52,58,64,70,76,82
8,14,20,26,32,38
12,18,24,30,36,42
49,55,61,67,73,79
50,56,62,68,74,80
39,45,51,57,63,69
7,13,19,25,31,37
22,28,34,40,46,52
83,89,95,101,100,100
78,84,90,96,100,100
50,56,62,68,74,80
32,38,44,50,56,62
41,47,53,59,65,71
33,39,45,51,57,63
25,31,37,43,49,55
37,43,49,55,61,67
56,62,68,74,80,86
71,77,83,89,95,101
62,68,74,80,86,92
34,40,46,52,58,64
81,87,93,99,100,100
70,76,82,88,94,100
100,100,100,100,100,100
28,34,40,46,52,58
98,100,100,100,100,100
86,92,98,100,100,100
48,54,60,66,72,78
31,37,43,49,55,61
38,44,50,56,62,68
21,27,33,39,45,51
86,92,98,100,100,100
5,11,17,23,29,35
56,62,68,74,80,86
91,97,100,100,100,100
79,85,91,97,100,100
83,89,95,101,100,100
14,20,26,32,38,44
54,60,66,72,78,84
98,100,100,100,100,100
33,39,45,51,57,63
69,75,81,87,93,99
91,97,100,100,100,100
75,81,87,93,99,100
49,55,61,67,73,79
23,29,35,41,47,53
83,89,95,101,100,100
96,100,100,100,100,100
42,48,54,60,66,72
80,86,92,98,100,100
99,100,100,100,100,100
41,47,53,59,65,71
84,90,96,100,100,100
59,65,71,77,83,89
27,33,39,45,51,57
62,68,74,80,86,92
87,93,99,100,100,100
78,84,90,96,100,100
57,63,69,75,81,87
23,29,35,41,47,53
40,46,52,58,64,70
62,68,74,80,86,92
51,57,63,69,75,81
96,100,100,100,100,100
77,83,89,95,101,100
99,100,100,100,100,100
20,26,32,38,44,50
8,14,20,26,32,38
11,17,23,29,35,41
62,68,74,80,86,92
54,60,66,72,78,84
6,12,18,24,30,36
29,35,41,47,53,59
96,100,100,100,100,100
1,7,13,19,25,31
99,100,100,100,100,100
61,67,73,79,85,91
30,36,42,48,54,60
70,76,82,88,94,100
63,69,75,81,87,93
42,48,54,60,66,72
79,85,91,97,100,100
28,34,40,46,52,58
28,34,40,46,52,58
78,84,90,96,100,100
66,72,78,84,90,96
66,72,78,84,90,96
5,11,17,23,29,35
14,20,26,32,38,44
19,25,31,37,43,49
42,48,54,60,66,72
73,79,85,91,97,100
3,9,15,21,27,33
63,69,75,81,87,93
71,77,83,89,95,101
56,62,68,74,80,86
24,30,36,42,48,54
21,27,33,39,45,51
32,38,44,50,56,62
46,52,58,64,70,76
22,28,34,40,46,52
86,92,98,100,100,100
97,100,100,100,100,100
94,100,100,100,100,100
82,88,94,100,100,100
28,34,40,46,52,58
71,77,83,89,95,101
49,55,61,67,73,79
0,6,12,18,24,30
19,25,31,37,43,49
98,100,100,100,100,100
53,59,65,71,77,83
53,59,65,71,77,83
2,8,14,20,26,32
87,93,99,100,100,100
16,22,28,34,40,46
95,100,100,100,100,100
25,31,37,43,49,55
89,95,100,100,100,100
10,16,22,28,34,40
64,70,76,82,88,94
73,79,85,91,97,100
58,64,70,76,82,88
23,29,35,41,47,53
51,57,63,69,75,81
44,50,56,62,68,74
52,58,64,70,76,82
69,75,81,87,93,99
12,18,24,30,36,42
97,100,100,100,100,100
67,73,79,85,91,97
91,97,100,100,100,100
60,66,72,78,84,90
72,78,84,90,96,100
37,43,49,55,61,67
68,74,80,86,92,98
46,52,58,64,70,76
10,16,22,28,34,40
27,33,39,45,51,57
86,92,98,100,100,100
36,42,48,54,60,66
89,95,100,100,100,100
55,61,67,73,79,85
78,84,90,96,100,100
30,36,42,48,54,60
97,100,100,100,100,100
50,56,62,68,74,80
61,67,73,79,85,91
0,6,12,18,24,30
14,20,26,32,38,44
30,36,42,48,54,60
22,28,34,40,46,52
78,84,90,96,100,100
10,16,22,28,34,40
55,61,67,73,79,85
12,18,24,30,36,42
80,86,92,98,100,100
57,63,69,75,81,87
18,24,30,36,42,48
78,84,90,96,100,100
23,29,35,41,47,53
52,58,64,70,76,82
1,7,13,19,25,31
38,44,50,56,62,68
56,62,68,74,80,86
22,28,34,40,46,52
76,82,88,94,100,100
68,74,80,86,92,98
20,26,32,38,44,50
50,56,62,68,74,80
84,90,96,100,100,100
44,50,56,62,68,74
33,39,45,51,57,63
87,93,99,100,100,100
97,100,100,100,100,100
70,76,82,88,94,100
63,69,75,81,87,93
20,26,32,38,44,50
0,6,12,18,24,30
82,88,94,100,100,100
58,64,70,76,82,88
85,91,97,100,100,100
8,14,20,26,32,38
79,85,91,97,100,100
40,46,52,58,64,70
81,87,93,99,100,100
49,55,61,67,73,79
24,30,36,42,48,54
8,14,20,26,32,38
10,16,22,28,34,40
21,27,33,39,45,51
40,46,52,58,64,70
42,48,54,60,66,72
97,100,100,100,100,100
84,90,96,100,100,100
41,47,53,59,65,71
48,54,60,66,72,78
95,100,100,100,100,100
42,48,54,60,66,72
67,73,79,85,91,97
66,72,78,84,90,96
20,26,32,38,44,50
12,18,24,30,36,42
98,100,100,100,100,100
39,45,51,57,63,69
57,63,69,75,81,87
68,74,80,86,92,98
47,53,59,65,71,77
