fecha,tipo_producto,produccion
2019-01,GASÓLEOS,2443693
2019-01,GASOLINAS,619431
2019-01,FUELÓLEOS,480755
2019-01,QUEROSENOS,899326
2019-01,GLP,150301
2019-02,GASÓLEOS,2078086
2019-02,GASOLINAS,491370
2019-02,FUELÓLEOS,370027
2019-02,QUEROSENOS,769421
2019-02,GLP,144292
2019-03,GASÓLEOS,2495067
2019-03,GASOLINAS,578532
2019-03,FUELÓLEOS,491899
2019-03,QUEROSENOS,910723
2019-03,GLP,133501
2019-04,GASÓLEOS,2555376
2019-04,GASOLINAS,723512
2019-04,FUELÓLEOS,479870
2019-04,QUEROSENOS,902508
2019-04,GLP,113003
2019-05,GASÓLEOS,2540327
2019-05,GASOLINAS,726799
2019-05,FUELÓLEOS,425758
2019-05,QUEROSENOS,866536
2019-05,GLP,119797
2019-06,GASÓLEOS,2247125
2019-06,GASOLINAS,680234
2019-06,FUELÓLEOS,417641
2019-06,QUEROSENOS,755040
2019-06,GLP,74586
2019-07,GASÓLEOS,2392817
2019-07,GASOLINAS,695213
2019-07,FUELÓLEOS,435419
2019-07,QUEROSENOS,874480
2019-07,GLP,90310
2019-08,GASÓLEOS,2568969
2019-08,GASOLINAS,783390
2019-08,FUELÓLEOS,512034
2019-08,QUEROSENOS,969929
2019-08,GLP,97041
2019-09,GASÓLEOS,2359568
2019-09,GASOLINAS,699614
2019-09,FUELÓLEOS,452317
2019-09,QUEROSENOS,802409
2019-09,GLP,91173
2019-10,GASÓLEOS,2452706
2019-10,GASOLINAS,716181
2019-10,FUELÓLEOS,456522
2019-10,QUEROSENOS,787488
2019-10,GLP,92090
2019-11,GASÓLEOS,2116517
2019-11,GASOLINAS,707650
2019-11,FUELÓLEOS,317436
2019-11,QUEROSENOS,820858
2019-11,GLP,119336
2019-12,GASÓLEOS,2495230
2019-12,GASOLINAS,781023
2019-12,FUELÓLEOS,464683
2019-12,QUEROSENOS,874380
2019-12,GLP,161185
2020-01,GASÓLEOS,2427008
2020-01,GASOLINAS,676171
2020-01,FUELÓLEOS,453601
2020-01,QUEROSENOS,934875
2020-01,GLP,150915
2020-02,GASÓLEOS,2195181
2020-02,GASOLINAS,566075
2020-02,FUELÓLEOS,472208
2020-02,QUEROSENOS,788094
2020-02,GLP,130389
2020-03,GASÓLEOS,2373327
2020-03,GASOLINAS,617070
2020-03,FUELÓLEOS,419037
2020-03,QUEROSENOS,775663
2020-03,GLP,135104
2020-04,GASÓLEOS,2007428
2020-04,GASOLINAS,503340
2020-04,FUELÓLEOS,300355
2020-04,QUEROSENOS,626593
2020-04,GLP,109888
2020-05,GASÓLEOS,2042459
2020-05,GASOLINAS,548246
2020-05,FUELÓLEOS,299642
2020-05,QUEROSENOS,519718
2020-05,GLP,84962
2020-06,GASÓLEOS,1973648
2020-06,GASOLINAS,547424
2020-06,FUELÓLEOS,271633
2020-06,QUEROSENOS,554393
2020-06,GLP,72829
2020-07,GASÓLEOS,2023456
2020-07,GASOLINAS,581592
2020-07,FUELÓLEOS,324731
2020-07,QUEROSENOS,600098
2020-07,GLP,83711
2020-08,GASÓLEOS,2293368
2020-08,GASOLINAS,637961
2020-08,FUELÓLEOS,315265
2020-08,QUEROSENOS,670104
2020-08,GLP,81202
2020-09,GASÓLEOS,2030765
2020-09,GASOLINAS,558827
2020-09,FUELÓLEOS,245195
2020-09,QUEROSENOS,625556
2020-09,GLP,82458
2020-10,GASÓLEOS,2169301
2020-10,GASOLINAS,607500
2020-10,FUELÓLEOS,241642
2020-10,QUEROSENOS,623942
2020-10,GLP,95410
2020-11,GASÓLEOS,2103434
2020-11,GASOLINAS,576708
2020-11,FUELÓLEOS,182963
2020-11,QUEROSENOS,645395
2020-11,GLP,109548
2020-12,GASÓLEOS,2140705
2020-12,GASOLINAS,655088
2020-12,FUELÓLEOS,220417
2020-12,QUEROSENOS,601609
2020-12,GLP,119669
2021-01,GASÓLEOS,2077761
2021-01,GASOLINAS,676807
2021-01,FUELÓLEOS,228411
2021-01,QUEROSENOS,579865
2021-01,GLP,127868
2021-02,GASÓLEOS,1969345
2021-02,GASOLINAS,625276
2021-02,FUELÓLEOS,123697
2021-02,QUEROSENOS,599857
2021-02,GLP,120994
2021-03,GASÓLEOS,2083603
2021-03,GASOLINAS,729317
2021-03,FUELÓLEOS,156383
2021-03,QUEROSENOS,684806
2021-03,GLP,124001
2021-04,GASÓLEOS,2109036
2021-04,GASOLINAS,697101
2021-04,FUELÓLEOS,181940
2021-04,QUEROSENOS,647847
2021-04,GLP,111973
2021-05,GASÓLEOS,2005961
2021-05,GASOLINAS,709587
2021-05,FUELÓLEOS,390103
2021-05,QUEROSENOS,677218
2021-05,GLP,96092
2021-06,GASÓLEOS,1887089
2021-06,GASOLINAS,690591
2021-06,FUELÓLEOS,315557
2021-06,QUEROSENOS,655720
2021-06,GLP,84484
2021-07,GASÓLEOS,2291137
2021-07,GASOLINAS,767529
2021-07,FUELÓLEOS,382650
2021-07,QUEROSENOS,804354
2021-07,GLP,95328
2021-08,GASÓLEOS,2293736
2021-08,GASOLINAS,825556
2021-08,FUELÓLEOS,401442
2021-08,QUEROSENOS,824902
2021-08,GLP,96698
2021-09,GASÓLEOS,2228875
2021-09,GASOLINAS,791537
2021-09,FUELÓLEOS,408219
2021-09,QUEROSENOS,778030
2021-09,GLP,105487
2021-10,GASÓLEOS,2157004
2021-10,GASOLINAS,848020
2021-10,FUELÓLEOS,438869
2021-10,QUEROSENOS,798661
2021-10,GLP,98398
2021-11,GASÓLEOS,2222939
2021-11,GASOLINAS,816767
2021-11,FUELÓLEOS,438374
2021-11,QUEROSENOS,769473
2021-11,GLP,115531
2021-12,GASÓLEOS,2319706
2021-12,GASOLINAS,818097
2021-12,FUELÓLEOS,396794
2021-12,QUEROSENOS,823692
2021-12,GLP,130193
2022-01,GASÓLEOS,2322459
2022-01,GASOLINAS,833573
2022-01,FUELÓLEOS,374001
2022-01,QUEROSENOS,777035
2022-01,GLP,130730
2022-02,GASÓLEOS,2129553
2022-02,GASOLINAS,678513
2022-02,FUELÓLEOS,330451
2022-02,QUEROSENOS,695009
2022-02,GLP,120337
2022-03,GASÓLEOS,2129308
2022-03,GASOLINAS,679895
2022-03,FUELÓLEOS,394887
2022-03,QUEROSENOS,782519
2022-03,GLP,118506
2022-04,GASÓLEOS,2309237
2022-04,GASOLINAS,745249
2022-04,FUELÓLEOS,363840
2022-04,QUEROSENOS,866556
2022-04,GLP,89658
2022-05,GASÓLEOS,2478511
2022-05,GASOLINAS,822893
2022-05,FUELÓLEOS,379991
2022-05,QUEROSENOS,937156
2022-05,GLP,106027
2022-06,GASÓLEOS,2336958
2022-06,GASOLINAS,842543
2022-06,FUELÓLEOS,395493
2022-06,QUEROSENOS,872646
2022-06,GLP,91861
2022-07,GASÓLEOS,2417348
2022-07,GASOLINAS,883824
2022-07,FUELÓLEOS,437879
2022-07,QUEROSENOS,826649
2022-07,GLP,85962
2022-08,GASÓLEOS,2334479
2022-08,GASOLINAS,821847
2022-08,FUELÓLEOS,437214
2022-08,QUEROSENOS,822106
2022-08,GLP,88843
2022-09,GASÓLEOS,2253356
2022-09,GASOLINAS,746219
2022-09,FUELÓLEOS,398525
2022-09,QUEROSENOS,791877
2022-09,GLP,87522
2022-10,GASÓLEOS,2105903
2022-10,GASOLINAS,624642
2022-10,FUELÓLEOS,379669
2022-10,QUEROSENOS,652466
2022-10,GLP,89290
2022-11,GASÓLEOS,2199067
2022-11,GASOLINAS,695642
2022-11,FUELÓLEOS,344463
2022-11,QUEROSENOS,652042
2022-11,GLP,98290
2022-12,GASÓLEOS,2497437
2022-12,GASOLINAS,773364
2022-12,FUELÓLEOS,461646
2022-12,QUEROSENOS,860789
2022-12,GLP,132249
2023-01,GASÓLEOS,2379451
2023-01,GASOLINAS,745524
2023-01,FUELÓLEOS,394093
2023-01,QUEROSENOS,795746
2023-01,GLP,116006
2023-02,GASÓLEOS,2056554
2023-02,GASOLINAS,638745
2023-02,FUELÓLEOS,290933
2023-02,QUEROSENOS,686519
2023-02,GLP,120739
2023-03,GASÓLEOS,2183449
2023-03,GASOLINAS,685201
2023-03,FUELÓLEOS,375558
2023-03,QUEROSENOS,765480
2023-03,GLP,119116
2023-04,GASÓLEOS,2283559
2023-04,GASOLINAS,752912
2023-04,FUELÓLEOS,433085
2023-04,QUEROSENOS,783030
2023-04,GLP,90086
2023-05,GASÓLEOS,2178101
2023-05,GASOLINAS,823485
2023-05,FUELÓLEOS,369554
2023-05,QUEROSENOS,720039
2023-05,GLP,90126
2023-06,GASÓLEOS,2124463
2023-06,GASOLINAS,804051
2023-06,FUELÓLEOS,377065
2023-06,QUEROSENOS,735907
2023-06,GLP,83147
2023-07,GASÓLEOS,2235029
2023-07,GASOLINAS,788399
2023-07,FUELÓLEOS,399399
2023-07,QUEROSENOS,835463
2023-07,GLP,78629
2023-08,GASÓLEOS,2357378
2023-08,GASOLINAS,803796
2023-08,FUELÓLEOS,393977
2023-08,QUEROSENOS,884219
2023-08,GLP,107558
2023-09,GASÓLEOS,2304049
2023-09,GASOLINAS,747178
2023-09,FUELÓLEOS,409122
2023-09,QUEROSENOS,907906
2023-09,GLP,91533
2023-10,GASÓLEOS,2176174
2023-10,GASOLINAS,679619
2023-10,FUELÓLEOS,426359
2023-10,QUEROSENOS,854212
2023-10,GLP,122735
2023-11,GASÓLEOS,2104863
2023-11,GASOLINAS,685460
2023-11,FUELÓLEOS,419519
2023-11,QUEROSENOS,853791
2023-11,GLP,101811
2023-12,GASÓLEOS,2357496
2023-12,GASOLINAS,749950
2023-12,FUELÓLEOS,419670
2023-12,QUEROSENOS,921772
2023-12,GLP,124590
2024-01,GASÓLEOS,2445602
2024-01,GASOLINAS,792956
2024-01,FUELÓLEOS,471988
2024-01,QUEROSENOS,945932
2024-01,GLP,127763
