Hidráulica,Eólica,Solar fotovoltaica,Solar térmica,Residuos renovables,Hidroeólica,Otras renovables,Fecha
1927,2458,722,466,79,2,320,2018 Septiembre
1463,4322,572,292,81,1,298,2018 Octubre
2162,4559,376,79,69,1,293,2018 Noviembre
2487,4364,430,110,84,1,300,2018 Diciembre
2127,6027,507,166,74,1,305,2019 Enero
2483,3696,635,262,69,1,286,2019 Febrero
2133,4921,813,478,79,2,310,2019 Marzo
1926,4664,704,379,78,2,275,2019 Abril
1935,4677,940,741,50,2,283,2019 Mayo
1627,3287,935,775,76,1,287,2019 Junio
1582,3441,1004,723,80,4,327,2019 Julio
1255,2891,1015,745,79,3,321,2019 Agosto
1225,3895,862,455,78,2,302,2019 Septiembre
1122,381,795,303,77,2,312,2019 Octubre
2663,7459,526,70,74,2,309,2019 Noviembre
4639,5477,518,69,74,1,301,2019 Diciembre
3729,4627,625,86,65,1,335,2020 Enero
2839,4271,973,228,62,1,348,2020 Febrero
3114,5601,1067,236,62,2,346,2020 Marzo
2862,3695,1149,207,35,1,338,2020 Abril
286,3965,1637,552,37,1,387,2020 Mayo
2263,3344,1794,712,42,1,380,2020 Junio
1837,4248,1903,796,43,4,350,2020 Julio
1886,3675,1817,745,77,4,369,2020 Agosto
1679,4055,1458,452,73,2,396,2020 Septiembre
1893,5768,1313,340,72,1,415,2020 Octubre
246,4209,812,108,81,1,394,2020 Noviembre
3192,744,741,76,76,1,423,2020 Diciembre
4056,7101,847,103,60,1,390,2021 Enero
4516,6294,972,138,69,1,365,2021 Febrero
3714,5607,1687,355,73,2,359,2021 Marzo
2743,4095,1662,267,74,1,392,2021 Abril
2157,4784,2385,646,60,3,391,2021 Mayo
2178,3681,2311,655,80,3,358,2021 Junio
2204,428,2517,828,82,4,352,2021 Julio
188,3743,2378,661,82,3,410,2021 Agosto
1394,3231,1921,447,68,1,396,2021 Septiembre
1021,4352,1764,328,69,2,432,2021 Octubre
1193,641,1328,172,80,1,434,2021 Noviembre
2519,6906,1017,104,82,1,435,2021 Diciembre
2103,5355,1503,192,79,1,443,2022 Enero
1168,4707,1681,209,73,1,375,2022 Febrero
1754,6479,1446,126,82,2,432,2022 Marzo
1779,5656,2571,413,73,2,431,2022 Abril
1919,4688,3372,621,80,2,397,2022 Mayo
1191,3789,3203,534,77,2,416,2022 Junio
1075,4328,3346,691,77,4,423,2022 Julio
970,4237,3222,620,65,4,383,2022 Agosto
1152,4194,2683,437,60,2,341,2022 Septiembre
767,5117,1999,185,73,1,377,2022 Octubre
1309,6671,1531,105,68,1,365,2022 Noviembre
2887,5661,1098,62,75,0,336,2022 Diciembre
4042,7537,1668,121,70,2,303,2023 Enero
2555,4662,2095,181,74,1,362,2023 Febrero
2043,6695,3091,410,72,2,308,2023 Marzo
1531,4899,3755,626,58,2,273,2023 Abril
1383,5441,3883,500,46,2,338,2023 Mayo
