Año,Periodo,Anomalia temperatura 
1979,Enero,-0.42
1979,Febrero,-0.69
1979,Marzo,-0.49
1979,Abril,-0.51
1979,Mayo,-0.45
1979,Junio,-0.43
1979,Julio,-0.5
1979,Agosto,-0.41
1979,Septiembre,-0.38
1979,Octubre,-0.36
1979,Noviembre,-0.38
1979,Diciembre,-0.13
1980,Enero,-0.3
1980,Febrero,-0.25
1980,Marzo,-0.28
1980,Abril,-0.18
1980,Mayo,-0.09
1980,Junio,-0.25
1980,Julio,-0.21
1980,Agosto,-0.28
1980,Septiembre,-0.37
1980,Octubre,-0.46
1980,Noviembre,-0.43
1980,Diciembre,-0.47
1981,Enero,-0.17
1981,Febrero,-0.25
1981,Marzo,-0.16
1981,Abril,-0.21
1981,Mayo,-0.23
1981,Junio,-0.25
1981,Julio,-0.24
1981,Agosto,-0.24
1981,Septiembre,-0.34
1981,Octubre,-0.42
1981,Noviembre,-0.43
1981,Diciembre,-0.23
1982,Enero,-0.58
1982,Febrero,-0.49
1982,Marzo,-0.64
1982,Abril,-0.54
1982,Mayo,-0.37
1982,Junio,-0.42
1982,Julio,-0.34
1982,Agosto,-0.45
1982,Septiembre,-0.47
1982,Octubre,-0.52
1982,Noviembre,-0.52
1982,Diciembre,-0.23
1983,Enero,-0.15
1983,Febrero,-0.19
1983,Marzo,-0.19
1983,Abril,-0.28
1983,Mayo,-0.13
1983,Junio,-0.27
1983,Julio,-0.32
1983,Agosto,-0.25
1983,Septiembre,-0.2
1983,Octubre,-0.48
1983,Noviembre,-0.35
1983,Diciembre,-0.42
1984,Enero,-0.4
1984,Febrero,-0.56
1984,Marzo,-0.39
1984,Abril,-0.47
1984,Mayo,-0.21
1984,Junio,-0.51
1984,Julio,-0.53
1984,Agosto,-0.44
1984,Septiembre,-0.49
1984,Octubre,-0.52
1984,Noviembre,-0.65
1984,Diciembre,-0.6
1985,Enero,-0.42
1985,Febrero,-0.69
1985,Marzo,-0.53
1985,Abril,-0.47
1985,Mayo,-0.44
1985,Junio,-0.47
1985,Julio,-0.54
1985,Agosto,-0.39
1985,Septiembre,-0.52
1985,Octubre,-0.65
1985,Noviembre,-0.59
1985,Diciembre,-0.55
1986,Enero,-0.43
1986,Febrero,-0.38
1986,Marzo,-0.41
1986,Abril,-0.3
1986,Mayo,-0.27
1986,Junio,-0.45
1986,Julio,-0.45
1986,Agosto,-0.44
1986,Septiembre,-0.53
1986,Octubre,-0.59
1986,Noviembre,-0.5
1986,Diciembre,-0.45
1987,Enero,-0.33
1987,Febrero,-0.29
1987,Marzo,-0.48
1987,Abril,-0.33
1987,Mayo,-0.27
1987,Junio,-0.19
