Entity,Year,World ($)
Agricultural technology,2017,309478503
Agricultural technology,2018,280024054
Agricultural technology,2019,502672339
Agricultural technology,2020,686735808
Agricultural technology,2021,1351178581
Agricultural technology,2022,810137282
Cybersecurity,2017,2477972877
Cybersecurity,2018,4071620825
Cybersecurity,2019,4110878261
Cybersecurity,2020,3798115473
Cybersecurity,2021,4077164559
Cybersecurity,2022,4978670210
Data management,2017,4009032159
Data management,2018,5281227419
Data management,2019,6724363615
Data management,2020,6662235896
Data management,2021,9309790185
Data management,2022,5423724972
Educational technology,2017,1444291271
Educational technology,2018,4956758378
Educational technology,2019,902436750
Educational technology,2020,7730032651
Educational technology,2021,1710971434
Educational technology,2022,344161272
"Energy, oil and gas",2017,625514140
"Energy, oil and gas",2018,3354894612
"Energy, oil and gas",2019,1694145415
"Energy, oil and gas",2020,2810505321
"Energy, oil and gas",2021,1865601123
"Energy, oil and gas",2022,1487149762
Entertainment,2017,923252885
Entertainment,2018,632851383
Entertainment,2019,1286023888
Entertainment,2020,786408557
Entertainment,2021,3739408050
Entertainment,2022,804408782
Financial technology,2017,2344769845
Financial technology,2018,4625875596
Financial technology,2019,7472621947
Financial technology,2020,3269791558
Financial technology,2021,7133528041
Financial technology,2022,5114007205
Geospatial,2017,395927816
Geospatial,2018,980883111
Geospatial,2019,539553638
Geospatial,2020,648588273
Geospatial,2021,1041059868
Geospatial,2022,661432857
Industrial automation,2017,830608913
Industrial automation,2018,2436850665
Industrial automation,2019,1861282018
Industrial automation,2020,2754311822
Industrial automation,2021,2372564153
Industrial automation,2022,3628084361
Marketing and digital ads,2017,1018117875
Marketing and digital ads,2018,963671743
Marketing and digital ads,2019,2161257690
Marketing and digital ads,2020,957675085
Marketing and digital ads,2021,1514237568
Marketing and digital ads,2022,2824636407
Medical and healthcare,2017,2643466659
Medical and healthcare,2018,5883191498
Medical and healthcare,2019,5497100065
Medical and healthcare,2020,7524641500
Medical and healthcare,2021,8615669754
Medical and healthcare,2022,5605698104
Music and video content,2017,1691121432
Music and video content,2018,2974951949
Music and video content,2019,4455514840
Music and video content,2020,1247029083
Music and video content,2021,2106094103
Music and video content,2022,1588582322
"Natural Language Processing, customer support",2017,1064713214
"Natural Language Processing, customer support",2018,3027138202
"Natural Language Processing, customer support",2019,1012226187
"Natural Language Processing, customer support",2020,802107008
"Natural Language Processing, customer support",2021,1604202423
"Natural Language Processing, customer support",2022,931708894
