date,pm25, pm10, o3, no2
01/04/2024,20,14,28,13
02/04/2024,41,16,27,14
03/04/2024,41,22,20,12
04/04/2024,41,17,17,11
05/04/2024,33,17,17, 
01/01/2024,39,16,18,6
02/01/2024,37,16,28,7
03/01/2024,37,13,21,10
04/01/2024,53,10,27,10
05/01/2024,45,11,29,7
06/01/2024,39,13,30,10
07/01/2024,42,16,22,11
08/01/2024,51,20,24,10
09/01/2024,63,15,18,10
10/01/2024,54,22,21,11
11/01/2024,56,19,24,12
12/01/2024,46,21,19,12
13/01/2024,59,20,11,9
14/01/2024,63,23,15,11
15/01/2024,69,19,21,9
16/01/2024,50,10,29,4
17/01/2024,23,11,28,9
18/01/2024,32,11,27,9
19/01/2024,28,19,27,11
20/01/2024,52,23,20,9
21/01/2024,67,37,11,11
22/01/2024,88,30,11,8
23/01/2024,75,20,9,6
24/01/2024,58,25,7,7
25/01/2024,68,38,11,13
26/01/2024,79,33,18,12
27/01/2024,67,26,20,9
28/01/2024,67,36,14,13
29/01/2024,77,31,19,11
30/01/2024,64,45,15,12
31/01/2024,82,61,20,14
01/02/2024,102,53,22,13
02/02/2024,103,27,28,11
03/02/2024,61,25,26,10
04/02/2024,63,32,18,12
05/02/2024,67,31,18,12
06/02/2024,69,40,13,11
07/02/2024,83,26,25,7
08/02/2024,45,11,25,12
09/02/2024,29,8,30,7
10/02/2024,21,9,28,8
11/02/2024,25,13,28,13
12/02/2024,31,19,27,12
13/02/2024,55,23,6,12
14/02/2024,57,22,28,11
15/02/2024,54,15,31,16
16/02/2024,36,17,30,15
17/02/2024,43,17,23,15
18/02/2024,48,21,29,18
19/02/2024,51,22,24,20
20/02/2024,56,29,37,20
21/02/2024,71,21,34,15
22/02/2024,49,9,33,13
23/02/2024,24,5,33,13
24/02/2024,28,13,30,13
25/02/2024,32,9,35,21
26/02/2024,25,13,34,25
27/02/2024,27,13,35,28
28/02/2024,34,12,34,19
29/02/2024,35,7,32,19
01/03/2024,24,5,36,20
02/03/2024,26,6,34,16
03/03/2024,21,7,36,20
04/03/2024,32,9,33,21
