Semana,Valor
11/03/2024,8233
04/03/2024,8565
26/02/2024,8724
19/02/2024,8825
12/02/2024,8430
05/02/2024,8451
29/01/2024,8639
22/01/2024,8974
15/01/2024,8819
08/01/2024,9884
01/01/2024,11283
25/12/2023,11817
18/12/2023,11946
11/12/2023,10887
04/12/2023,9844
27/11/2023,9021
20/11/2023,8469
13/11/2023,8604
06/11/2023,8123
30/10/2023,8289
23/10/2023,8131
16/10/2023,7664
09/10/2023,7703
02/10/2023,7586
25/09/2023,7576
18/09/2023,7813
11/09/2023,7493
04/09/2023,7366
28/08/2023,7325
21/08/2023,7614
14/08/2023,7839
07/08/2023,8635
31/07/2023,7807
24/07/2023,7717
17/07/2023,7623
10/07/2023,7487
03/07/2023,7823
26/06/2023,7676
19/06/2023,7417
12/06/2023,7712
05/06/2023,7436
29/05/2023,7582
22/05/2023,7645
15/05/2023,7545
08/05/2023,7757
01/05/2023,7554
24/04/2023,7535
17/04/2023,7590
10/04/2023,8113
03/04/2023,8017
27/03/2023,8177
20/03/2023,8092
13/03/2023,8312
06/03/2023,8383
27/02/2023,8930
20/02/2023,9678
13/02/2023,9594
06/02/2023,9649
30/01/2023,9832
23/01/2023,10186
16/01/2023,10167
09/01/2023,9714
02/01/2023,9902
26/12/2022,10059
19/12/2022,9926
12/12/2022,9656
05/12/2022,9717
28/11/2022,9466
21/11/2022,9422
14/11/2022,8981
07/11/2022,8498
31/10/2022,8390
24/10/2022,8187
17/10/2022,7643
10/10/2022,7904
03/10/2022,8115
26/09/2022,7743
19/09/2022,7931
12/09/2022,7495
05/09/2022,7339
29/08/2022,7567
22/08/2022,7615
15/08/2022,7645
08/08/2022,8154
01/08/2022,8080
25/07/2022,9249
18/07/2022,9437
11/07/2022,9925
04/07/2022,10965
27/06/2022,10856
20/06/2022,9067
13/06/2022,8566
06/06/2022,8520
30/05/2022,9308
23/05/2022,8140
16/05/2022,8116
09/05/2022,8194
02/05/2022,8881
25/04/2022,8800
18/04/2022,8478
11/04/2022,8468
04/04/2022,8378
28/03/2022,8670
21/03/2022,8665
14/03/2022,8483
07/03/2022,8486
28/02/2022,8535
21/02/2022,8488
14/02/2022,8657
07/02/2022,8887
31/01/2022,9281
24/01/2022,10071
17/01/2022,10848
10/01/2022,11166
03/01/2022,10815
27/12/2021,10626
20/12/2021,9904
13/12/2021,9845
06/12/2021,9780
29/11/2021,9503
22/11/2021,9017
15/11/2021,9386
08/11/2021,8846
01/11/2021,8793
25/10/2021,8717
18/10/2021,7821
11/10/2021,8179
04/10/2021,7744
27/09/2021,7586
20/09/2021,7526
13/09/2021,7548
06/09/2021,7430
30/08/2021,7504
23/08/2021,7895
16/08/2021,7936
09/08/2021,8214
02/08/2021,8766
26/07/2021,8860
19/07/2021,8642
12/07/2021,8362
05/07/2021,8481
28/06/2021,7563
21/06/2021,7544
14/06/2021,7557
07/06/2021,7285
31/05/2021,7799
24/05/2021,7710
17/05/2021,7353
10/05/2021,7437
03/05/2021,7606
26/04/2021,7738
19/04/2021,8062
12/04/2021,7867
05/04/2021,8084
29/03/2021,7947
22/03/2021,8080
15/03/2021,8195
08/03/2021,8189
01/03/2021,8077
22/02/2021,8318
15/02/2021,8542
08/02/2021,9032
01/02/2021,9488
25/01/2021,10368
18/01/2021,11571
11/01/2021,12701
04/01/2021,12950
28/12/2020,11858
21/12/2020,10470
14/12/2020,9524
07/12/2020,9015
30/11/2020,9287
23/11/2020,9534
16/11/2020,9541
09/11/2020,9534
02/11/2020,9695
26/10/2020,10030
19/10/2020,10316
12/10/2020,9596
05/10/2020,9470
28/09/2020,8594
21/09/2020,8593
14/09/2020,8188
07/09/2020,8064
31/08/2020,8168
24/08/2020,7998
17/08/2020,7777
10/08/2020,7954
03/08/2020,7886
27/07/2020,8170
20/07/2020,8394
13/07/2020,8589
06/07/2020,7827
29/06/2020,7562
22/06/2020,7732
15/06/2020,7635
08/06/2020,7512
01/06/2020,7032
25/05/2020,6849
18/05/2020,7144
11/05/2020,7620
04/05/2020,7643
27/04/2020,7536
20/04/2020,8458
13/04/2020,9008
06/04/2020,10452
30/03/2020,13244
23/03/2020,17325
16/03/2020,20967
09/03/2020,19828
02/03/2020,12843
24/02/2020,9481
17/02/2020,8465
10/02/2020,8379
03/02/2020,8413
27/01/2020,8839
20/01/2020,9192
13/01/2020,9974
06/01/2020,9954
30/12/2019,9917
23/12/2019,9398
16/12/2019,8710
09/12/2019,8333
02/12/2019,8393
25/11/2019,8340
18/11/2019,8021
11/11/2019,8328
04/11/2019,8217
28/10/2019,8036
21/10/2019,7677
14/10/2019,7698
07/10/2019,7543
30/09/2019,7314
23/09/2019,7312
16/09/2019,6978
09/09/2019,7027
02/09/2019,6996
26/08/2019,6939
19/08/2019,6904
12/08/2019,6898
05/08/2019,6920
29/07/2019,7128
22/07/2019,7317
15/07/2019,7136
08/07/2019,7464
01/07/2019,7301
24/06/2019,7463
17/06/2019,8050
10/06/2019,7570
03/06/2019,7404
27/05/2019,7016
20/05/2019,7508
13/05/2019,7618
06/05/2019,7436
29/04/2019,7536
22/04/2019,7731
15/04/2019,7744
08/04/2019,7759
01/04/2019,7801
25/03/2019,8055
18/03/2019,8087
11/03/2019,8171
04/03/2019,8027
25/02/2019,8205
18/02/2019,8595
11/02/2019,8920
04/02/2019,9216
28/01/2019,9363
21/01/2019,9686
14/01/2019,9964
07/01/2019,10141
31/12/2018,10476
24/12/2018,10025
17/12/2018,9127
10/12/2018,8650
03/12/2018,8427
26/11/2018,8312
19/11/2018,8051
12/11/2018,7929
05/11/2018,7932
29/10/2018,7999
22/10/2018,8012
15/10/2018,7794
08/10/2018,7327
01/10/2018,7350
24/09/2018,7437
17/09/2018,7210
10/09/2018,7230
03/09/2018,7153
27/08/2018,6834
20/08/2018,6906
13/08/2018,6927
06/08/2018,7015
30/07/2018,7194
23/07/2018,8003
16/07/2018,7731
09/07/2018,7155
02/07/2018,7186
25/06/2018,7366
18/06/2018,7305
11/06/2018,7698
04/06/2018,7713
28/05/2018,7154
21/05/2018,7109
14/05/2018,7306
07/05/2018,7527
30/04/2018,7511
23/04/2018,7595
16/04/2018,7359
09/04/2018,7735
02/04/2018,8112
26/03/2018,8335
19/03/2018,8414
12/03/2018,8628
05/03/2018,8616
26/02/2018,8862
19/02/2018,9203
12/02/2018,9599
05/02/2018,9656
29/01/2018,10105
22/01/2018,10015
15/01/2018,9893
08/01/2018,10324
01/01/2018,10981
25/12/2017,10905
18/12/2017,11204
11/12/2017,10412
04/12/2017,9628
27/11/2017,9262
20/11/2017,8620
13/11/2017,8257
06/11/2017,8169
30/10/2017,8063
23/10/2017,7632
16/10/2017,7511
09/10/2017,7308
02/10/2017,7392
25/09/2017,7234
18/09/2017,7388
11/09/2017,7367
04/09/2017,7091
28/08/2017,6730
21/08/2017,6680
14/08/2017,7013
07/08/2017,7219
31/07/2017,7118
24/07/2017,7186
17/07/2017,7596
10/07/2017,7110
03/07/2017,7259
26/06/2017,7214
19/06/2017,7156
12/06/2017,7137
05/06/2017,7991
29/05/2017,7819
22/05/2017,7067
15/05/2017,7092
08/05/2017,7666
01/05/2017,7494
24/04/2017,7622
17/04/2017,7520
10/04/2017,7661
03/04/2017,7574
27/03/2017,7800
20/03/2017,7814
13/03/2017,7827
06/03/2017,7875
27/02/2017,7906
20/02/2017,8213
