Fecha,De acuerdo,En desacuerdo
07/02/2020,57,22
09/02/2020,39,28
16/02/2020,39,32
23/02/2020,39,31
24/02/2020,54,27
26/02/2020,48,52
28/02/2020,48,35
02/03/2020,38,47
03/03/2020,44,42
04/03/2020,41,48
06/03/2020,42,49
08/03/2020,47,53
09/03/2020,39,49
11/03/2020,43,54
12/03/2020,46,46
13/03/2020,44,49
15/03/2020,45,46
16/03/2020,47,47
17/03/2020,56,44
19/03/2020,45,54
20/03/2020,49,40
21/03/2020,55,45
22/03/2020,56,44
23/03/2020,46,37
24/03/2020,53,42
25/03/2020,43,49
27/03/2020,49,41
28/03/2020,44,51
29/03/2020,50,42
31/03/2020,48,45
01/04/2020,47,52
02/04/2020,45,55
04/04/2020,51,48
05/04/2020,46,47
06/04/2020,42,53
08/04/2020,44,55
10/04/2020,45,48
09/04/2020,47,50
12/04/2020,45,47
13/04/2020,48,48
14/04/2020,46.94,47.6
15/04/2020,44,54
17/04/2020,46,54
18/04/2020,40,53
19/04/2020,49,49
21/04/2020,45.35,50.16
20/04/2020,48,52
24/04/2020,43,49
23/04/2020,44,53
26/04/2020,38.9,51.3
27/04/2020,43,49
28/04/2020,45.35,50.16
25/04/2020,41.06,58.93
29/04/2020,42,57
01/05/2020,44,56
30/04/2020,42,51
03/05/2020,44,48
04/05/2020,43,50
05/05/2020,41.66,53
06/05/2020,52,48
08/05/2020,37,47
07/05/2020,42,55
11/05/2020,41,54
13/05/2020,50,50
09/05/2020,44,56
15/05/2020,45,55
14/05/2020,39,60
17/05/2020,42,50
18/05/2020,42,52
19/05/2020,42.68,54.57
16/05/2020,43.2,56.9
21/05/2020,44,48
22/05/2020,42,52
26/05/2020,42.86,51.13
25/05/2020,46,53
29/05/2020,43,53
28/05/2020,42,57
31/05/2020,41,52
01/06/2020,40,54
03/06/2020,39,60
02/06/2020,41,56
30/05/2020,39,61
05/06/2020,38,55
06/06/2020,34,61
07/06/2020,44.1,52.6
08/06/2020,43,52
09/06/2020,41.27,53.98
12/06/2020,42,58
11/06/2020,37,62
13/06/2020,41,48
10/06/2020,40,55
14/06/2020,40,51
17/06/2020,44,56
18/06/2020,38,55
21/06/2020,39,51
22/06/2020,43,57
23/06/2020,45.56,50.02
24/06/2020,39,55
26/06/2020,41,59
25/06/2020,38,56
27/06/2020,32,54
28/06/2020,37,54
29/06/2020,39,56
01/07/2020,39,55
30/06/2020,42,58
05/07/2020,39,57
06/07/2020,37,57
07/07/2020,39.73,56.59
08/07/2020,33,67
09/07/2020,38,57
10/07/2020,41,59
12/07/2020,38,54
13/07/2020,37,57
16/07/2020,40,51
14/07/2020,34,62
17/07/2020,36,57
15/07/2020,38,58
19/07/2020,38,54
21/07/2020,38.71,55.62
23/07/2020,35,60
24/07/2020,40,60
25/07/2020,35,51
26/07/2020,39,53
27/07/2020,37.8,56.3
28/07/2020,40,54.08
29/07/2020,34,66
31/07/2020,38,55
30/07/2020,38,60
02/08/2020,37,55
03/08/2020,38,57
01/08/2020,38,60
07/08/2020,42,58
05/08/2020,36,59
06/08/2020,41,58
09/08/2020,35,61
08/08/2020,43,57
10/08/2020,38,56
11/08/2020,39.47,57
12/08/2020,40,59
14/08/2020,36,59
16/08/2020,39,56
13/08/2020,39,55
19/08/2020,42,58
20/08/2020,36,58
21/08/2020,42,58
27/08/2020,40,55
28/08/2020,35,63
24/08/2020,46,53
26/08/2020,39,55
29/08/2020,30,56
30/08/2020,38,55
01/09/2020,39.36,57.78
31/08/2020,43,57
25/08/2020,42,57
02/09/2020,38,53
04/09/2020,43,57
06/09/2020,40,52
08/09/2020,43,54
07/09/2020,46,53
09/09/2020,39,52
11/09/2020,35,65
10/09/2020,38,51
13/09/2020,40,51
15/09/2020,41.01,55.41
14/09/2020,43,55
17/09/2020,33,60
18/09/2020,42,58
22/09/2020,39.45,56.63
21/09/2020,41,55
23/09/2020,47,53
25/09/2020,39,55
26/09/2020,41,57
24/09/2020,43,50
27/09/2020,41,56
29/09/2020,43,54
01/10/2020,43,54
02/10/2020,39,56
28/09/2020,44,53
06/10/2020,41.33,55.61
08/10/2020,42,53
05/10/2020,43,55
09/10/2020,40,58
11/10/2020,39,56
10/10/2020,43,57
13/10/2020,39,57
16/10/2020,38,56
12/10/2020,44,55
17/10/2020,43,57
15/10/2020,41,57
18/10/2020,43,54
20/10/2020,41.21,55.8
23/10/2020,38,61
19/10/2020,44,54
25/10/2020,42,56
22/10/2020,40,55
29/10/2020,40,57
30/10/2020,43,55
26/10/2020,43,54
31/10/2020,42,56
06/11/2020,39,55
08/11/2020,44,54
05/11/2020,38,56
12/11/2020,36,59
17/11/2020,45,55
16/11/2020,40,57
19/11/2020,38,56
21/11/2020,42,56
29/11/2020,39,56
26/11/2020,40,53
30/11/2020,36,61
04/12/2020,40,55
01/12/2020,37,59
02/12/2020,37,59
06/12/2020,40,53
03/12/2020,37,59
09/12/2020,47,53
07/12/2020,40,57
11/12/2020,39,56
13/12/2020,38,54
15/12/2020,43.52,52.93
10/12/2020,38,57
17/12/2020,38,56
19/12/2020,41,50
18/12/2020,39,56
24/12/2020,38,56
31/12/2020,39,57
